1519654827.1152303, [ 27469.01342612  14859.99805014   5873.99909973]
1519654831.5149353, [ 27468.9999259   14859.99138205   5874.05638367]
1519654836.665639, [ 27469.00736838  14860.00107901   5874.11055908]
1519654841.5135365, [ 27469.0115798   14860.00642722   5874.13897766]
1519654846.0245383, [ 27469.00352698  14859.99820273   5874.16235535]
1519654857.510096, [ 27469.01083594  14860.00731985   5874.17259399]
1519654862.406122, [ 27468.99138098  14859.99624197   5874.17062561]
1519654866.7566965, [ 27469.01722937  14860.00625937   5874.168703  ]
1519654871.5083385, [ 27469.00690298  14860.00300925   5874.16458313]
1519654939.7529044, [ 27468.99922781  14860.00373404   5874.18107788]
1519654944.5045462, [ 27468.99438696  14860.01124899   5874.19423218]
1519654948.7117393, [ 27469.00791388  14860.00142233   5874.195224  ]
1519654953.0151887, [ 27469.00361853  14859.99127524   5874.19972534]
1519654957.4941049, [ 27469.00572043  14859.99881308   5874.20338745]
1519654961.7524343, [ 27468.99770575  14860.0071749    5874.22958801]
1519655894.7531993, [ 27468.9941619   14860.00500052   5875.99468994]
1519655914.2721298, [ 27469.00545721  14859.99537985   5876.09632263]
1519655923.3402555, [ 27468.99845343  14859.99673026   5876.15502014]
1519655930.0110035, [ 27469.0020278   14859.99148123   5876.19319885]
1519655939.0490491, [ 27468.99879675  14859.99987357   5876.17407959]
1519655954.1191435, [ 27469.00614005  14859.99530356   5876.14598694]
1519655960.4058692, [ 27469.01270132  14860.00346701   5876.15114441]
1519656037.530061, [ 27469.00326758  14859.99166434   5876.12113464]
1519656042.71285, [ 27469.0087226   14860.00063651   5876.10099182]
